index,hma_diff
2501,0.732008148
2502,0.631622084
2503,0.627760589
2504,0.744976556
2505,0.793085166
2506,0.736997442
2507,0.658896721
2508,0.591099864
2509,0.579261817
2510,0.599118251
2511,0.620996356
2512,0.678126505
2513,0.68572997
2514,0.633572895
2515,0.588668395
2516,0.575006745
2517,0.552490891
2518,0.551058304
2519,0.513714582
2520,0.495336837
2521,0.612598907
2522,0.612174595
2523,0.580168495
2524,0.55389445
2525,0.549763171
2526,0.649418428
2527,0.729749135
2528,0.830535606
2529,0.838577044
2530,0.758902014
2531,0.66264979
2532,0.602600682
2533,0.567187281
2534,0.57377735
2535,0.583185635
2536,0.56653075
2537,0.557720087
2538,0.556077479
2539,0.560009835
2540,0.558671161
2541,0.572788711
2542,0.627734123
2543,0.647676785
2544,0.682247539
2545,0.700299153
2546,0.658089076
2547,0.660116724
2548,0.698320169
2549,0.667649329
2550,0.621380542
2551,0.498971236
2552,0.503130688
2553,0.588812678
2554,0.64889935
2555,0.689163738
2556,0.681438187
2557,0.652649858
2558,0.620447397
2559,0.604391842
2560,0.681898356
2561,0.685960482
2562,0.679915957
2563,0.638225813
2564,0.670446202
2565,0.686009999
2566,0.694663573
2567,0.651013226
2568,0.598139004
2569,0.541141186
2570,0.509637943
2571,0.482483685
2572,0.510789647
2573,0.518080641
2574,0.591602721
2575,0.599422184
2576,0.66970515
2577,0.734946743
2578,0.730508116
2579,0.690676577
2580,0.653203086
2581,0.573911388
2582,0.529432054
2583,0.504458264
2584,0.521383786
2585,0.50463755
2586,0.528520253
2587,0.581602789
2588,0.63348752
2589,0.640965485
2590,0.67837153
2591,0.679080139
2592,0.70313786
2593,0.633746205
2594,0.625324851
2595,0.540584543
2596,0.49042438
2597,0.472347154
2598,0.50383759
2599,0.505415313
2600,0.560433293
2601,0.649722362
2602,0.701068378
2603,0.706267694
2604,0.675697596
2605,0.667806418
2606,0.639872689
2607,0.644041533
2608,0.638796115
2609,0.67916466
2610,0.662461966
2611,0.623222927
2612,0.601629119
2613,0.602352242
2614,0.584314288
2615,0.5192904
2616,0.546931294
2617,0.524170415
2618,0.536625721
2619,0.538135998
2620,0.555362893
2621,0.518804618
2622,0.531879745
2623,0.575249209
2624,0.605490614
2625,0.633679613
2626,0.659492636
2627,0.663605132
2628,0.681633695
2629,0.643052041
2630,0.620717181
2631,0.597448323
2632,0.610912757
2633,0.597082066
2634,0.560791013
2635,0.450417823
2636,0.420785139
2637,0.450871163
2638,0.471872471
2639,0.520000717
2640,0.578841773
2641,0.618190092
2642,0.637022884
2643,0.635452844
2644,0.619634631
2645,0.584520895
2646,0.604080225
2647,0.594948553
2648,0.563626305
2649,0.558846179
2650,0.574721593
2651,0.610797502
2652,0.484317532
2653,0.4513467
2654,0.470431347
